analyte_code,analyte_translation,analyte_desc,atomic_num,weight,preferred_unit,api_code,category,in_phase1_website,in_phase2_website,oxide_conv,website_analyte,category_two,website_order,website_order_pos2
Sergeevite,Sergeevite,Sergeevite,NULL,NULL,wtpct,sergeevite,mineralogy_composition,FALSE,FALSE,NULL,Sergeevite (wt%),NULL,NULL,NULL
Serpentine,Serpentine,Serpentine,NULL,NULL,wtpct,titanite,mineralogy_composition,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
Sg,Seaborgium,Seaborgium,106,263.118,N/A,sg,element,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
Si,Silicon,Silicon,14,28.086,wtpct,si,element,TRUE,TRUE,NULL,Si (wt%),NULL,204,NULL
SiO2,Silicon oxide,Silicon oxide,NULL,60.08,wtpct,si,element,TRUE,TRUE,0.467439,Si (wt%),NULL,204,NULL
Siderite,Siderite,Siderite,NULL,NULL,wtpct,siderite,mineralogy_composition,FALSE,TRUE,NULL,Siderite (wt%),NULL,290,NULL
Siliciclastic,Siliciclastic,Siliciclastic,NULL,NULL,wtpct,siliciclastic,mineralogy_composition,FALSE,FALSE,NULL,Siliciclastic (wt%),NULL,NULL,NULL
Sm,Samarium,Samarium,62,150.36,ppm,sm,element,TRUE,TRUE,NULL,Sm (ppm),NULL,205,NULL
Sm-auth,Sm from authigenic fraction,Authigenic samarium after light leach on shale,NULL,NULL,ppm,sm_auth,authigenic_proxy,FALSE,FALSE,NULL,Sm-auth (ppm),NULL,NULL,NULL
Sm-carb,Sm from the carbonate fraction,"Samarium extracted from the carbonate fraction, after acidification in a weak acid",NULL,NULL,ppm,sm_carb,carbonate_proxy,FALSE,TRUE,NULL,Sm-carb (ppm),NULL,84,NULL
Sm147_Nd144,147Sm/144Nd,ratio of samarium isotope sm147 to neodymium isotope nd144,NULL,NULL,none,sm147_nd144,metal_isotope,FALSE,TRUE,NULL,Sm147/Nd144,NULL,140,NULL
Smectite,Smectite,Smectite,NULL,NULL,wtpct,smectite,mineralogy_composition,FALSE,TRUE,NULL,Smectite (wt%),NULL,291,NULL
Sn,Tin,Tin,50,118.71,ppm,sn,element,TRUE,TRUE,NULL,Sn (ppm),NULL,206,NULL
Sn-carb,Sn from the carbonate fraction,"Tin extracted from the carbonate fraction, after acidification in a weak acid",NULL,NULL,ppm,sn_carb,carbonate_proxy,FALSE,TRUE,NULL,Sn-carb (ppm),NULL,85,NULL
Sphalerite,Sphalerite,Sphalerite,NULL,NULL,wtpct,sphalerite,mineralogy_composition,FALSE,TRUE,NULL,Sphalerite (wt%),NULL,292,NULL
Sr,Strontium,Strontium,38,87.62,ppm,sr,element,TRUE,TRUE,NULL,Sr (ppm),NULL,207,NULL
Sr-auth,Sr from authigenic fraction,Authigenic strontium after light leach on shale,NULL,NULL,ppm,sr_auth,authigenic_proxy,FALSE,FALSE,NULL,Sr-auth (ppm),NULL,NULL,NULL
Sr-carb,Sr from the carbonate fraction,"Strontium extracted from the carbonate fraction, after acidification in a weak acid",NULL,NULL,ppm,sr_carb,carbonate_proxy,FALSE,TRUE,NULL,Sr-carb (ppm),NULL,86,NULL
Sr87_Sr86,87Sr/86Sr,ratio of strontium isotopes sr87 to sr86,NULL,NULL,none,sr87_sr86,metal_isotope,FALSE,TRUE,NULL,Sr87/Sr86,NULL,145,NULL
SrO,Strontium oxide,Strontium oxide,NULL,NULL,ppm,sr,element,TRUE,TRUE,0.845595,Sr (ppm),NULL,207,NULL
Starkeyite,Starkeyite,Starkeyite,NULL,NULL,wtpct,starkeyite,mineralogy_composition,FALSE,FALSE,NULL,Starkeyite (wt%),NULL,NULL,NULL
Stilpnomelane,Stilpnomelane,Stilpnomelane,NULL,NULL,wtpct,stilpnomelane,mineralogy_composition,FALSE,FALSE,NULL,Stilpnomelane (wt%),NULL,NULL,NULL
Sum,Sum,Sum of elements,NULL,NULL,wtpct,sum,mineralogy_composition,FALSE,TRUE,NULL,Sum (wt%),NULL,299,NULL
Sylvite,Sylvite,Sylvite,NULL,NULL,wtpct,sylvite,mineralogy_composition,FALSE,FALSE,NULL,Sylvite (wt%),NULL,NULL,NULL
Szomolnokite,Szomolnokite,Szomolnokite,NULL,NULL,wtpct,szomolnokite,mineralogy_composition,FALSE,FALSE,NULL,Szomolnokite (wt%),NULL,NULL,NULL
T,Temp,Temperature - clumped isotopes,NULL,NULL,degC,temp,NULL,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
